id,value
id_0,3
id_1,16
id_2,23
id_3,7
id_4,26
id_5,22
id_6,24
id_7,30
id_8,16
id_9,60
id_10,13
id_11,10
id_12,65
id_13,53
id_14,24
id_15,13
id_16,31
id_17,68
id_18,0
id_19,18
id_20,42
id_21,70
id_22,10
id_23,19
id_24,15
id_25,40
id_26,16
id_27,72
id_28,7
id_29,55
id_30,23
id_31,8
id_32,2
id_33,19
id_34,28
id_35,39
id_36,44
id_37,29
id_38,45
id_39,34
id_40,8
id_41,38
id_42,31
id_43,49
id_44,16
id_45,38
id_46,26
id_47,10
id_48,25
id_49,34
id_50,20
id_51,10
id_52,18
id_53,54
id_54,16
id_55,35
id_56,34
id_57,21
id_58,58
id_59,21
id_60,12
id_61,43
id_62,13
id_63,49
id_64,13
id_65,15
id_66,12
id_67,0
id_68,42
id_69,32
id_70,21
id_71,41
id_72,57
id_73,7
id_74,19
id_75,7
id_76,36
id_77,14
id_78,23
id_79,21
id_80,23
id_81,37
id_82,22
id_83,94
id_84,36
id_85,26
id_86,23
id_87,34
id_88,25
id_89,22
id_90,31
id_91,43
id_92,3
id_93,37
id_94,47
id_95,16
id_96,32
id_97,13
id_98,24
id_99,3
id_100,20
id_101,29
id_102,15
id_103,16
id_104,22
id_105,40
id_106,29
id_107,8
id_108,7
id_109,79
id_110,48
id_111,16
id_112,27
id_113,16
id_114,14
id_115,26
id_116,26
id_117,9
id_118,16
id_119,19
id_120,82
id_121,26
id_122,37
id_123,25
id_124,8
id_125,40
id_126,9
id_127,22
id_128,28
id_129,65
id_130,22
id_131,23
id_132,60
id_133,16
id_134,15
id_135,1
id_136,11
id_137,60
id_138,18
id_139,6
id_140,26
id_141,25
id_142,46
id_143,30
id_144,18
id_145,26
id_146,11
id_147,52
id_148,21
id_149,40
id_150,10
id_151,9
id_152,23
id_153,8
id_154,18
id_155,42
id_156,8
id_157,37
id_158,8
id_159,18
id_160,42
id_161,18
id_162,12
id_163,9
id_164,48
id_165,30
id_166,0
id_167,14
id_168,63
id_169,13
id_170,66
id_171,39
id_172,25
id_173,20
id_174,58
id_175,26
id_176,21
id_177,38
id_178,13
id_179,31
id_180,16
id_181,12
id_182,56
id_183,47
id_184,17
id_185,37
id_186,26
id_187,71
id_188,9
id_189,57
id_190,38
id_191,18
id_192,31
id_193,1
id_194,19
id_195,2
id_196,34
id_197,12
id_198,20
id_199,61
id_200,24
id_201,23
id_202,64
id_203,12
id_204,10
id_205,11
id_206,8
id_207,2
id_208,127
id_209,21
id_210,16
id_211,13
id_212,38
id_213,37
id_214,21
id_215,36
id_216,75
id_217,1
id_218,11
id_219,32
id_220,15
id_221,12
id_222,110
id_223,11
id_224,17
id_225,62
id_226,16
id_227,19
id_228,11
id_229,9
id_230,46
id_231,13
id_232,54
id_233,41
id_234,25
id_235,41
id_236,68
id_237,43
id_238,13
id_239,17
