id,value
id_0,4
id_1,15
id_2,24
id_3,6
id_4,26
id_5,21
id_6,25
id_7,30
id_8,15
id_9,60
id_10,13
id_11,13
id_12,65
id_13,55
id_14,26
id_15,15
id_16,30
id_17,67
id_18,1
id_19,21
id_20,41
id_21,69
id_22,10
id_23,20
id_24,14
id_25,41
id_26,16
id_27,78
id_28,8
id_29,52
id_30,21
id_31,10
id_32,0
id_33,19
id_34,29
id_35,40
id_36,43
id_37,31
id_38,40
id_39,35
id_40,7
id_41,38
id_42,34
id_43,48
id_44,16
id_45,39
id_46,27
id_47,13
id_48,28
id_49,34
id_50,17
id_51,7
id_52,25
id_53,50
id_54,15
id_55,35
id_56,38
id_57,22
id_58,61
id_59,21
id_60,12
id_61,43
id_62,16
id_63,50
id_64,14
id_65,18
id_66,13
id_67,3
id_68,42
id_69,32
id_70,22
id_71,40
id_72,59
id_73,6
id_74,16
id_75,8
id_76,37
id_77,14
id_78,24
id_79,19
id_80,20
id_81,30
id_82,20
id_83,93
id_84,35
id_85,28
id_86,22
id_87,35
id_88,23
id_89,22
id_90,31
id_91,41
id_92,3
id_93,37
id_94,45
id_95,16
id_96,27
id_97,16
id_98,26
id_99,2
id_100,18
id_101,30
id_102,18
id_103,18
id_104,21
id_105,42
id_106,26
id_107,9
id_108,10
id_109,78
id_110,47
id_111,17
id_112,28
id_113,17
id_114,13
id_115,27
id_116,28
id_117,7
id_118,17
id_119,19
id_120,71
id_121,24
id_122,35
id_123,26
id_124,9
id_125,41
id_126,8
id_127,21
id_128,28
id_129,62
id_130,22
id_131,25
id_132,59
id_133,18
id_134,12
id_135,2
id_136,12
id_137,61
id_138,12
id_139,9
id_140,27
id_141,26
id_142,45
id_143,28
id_144,18
id_145,27
id_146,11
id_147,54
id_148,18
id_149,40
id_150,13
id_151,9
id_152,24
id_153,10
id_154,19
id_155,39
id_156,7
id_157,34
id_158,7
id_159,18
id_160,41
id_161,19
id_162,13
id_163,8
id_164,46
id_165,28
id_166,5
id_167,13
id_168,63
id_169,12
id_170,63
id_171,37
id_172,29
id_173,20
id_174,57
id_175,22
id_176,23
id_177,37
id_178,12
id_179,34
id_180,16
id_181,12
id_182,52
id_183,51
id_184,15
id_185,31
id_186,24
id_187,68
id_188,11
id_189,53
id_190,41
id_191,18
id_192,29
id_193,1
id_194,21
id_195,3
id_196,36
id_197,13
id_198,21
id_199,63
id_200,28
id_201,25
id_202,65
id_203,12
id_204,10
id_205,12
id_206,7
id_207,2
id_208,128
id_209,21
id_210,16
id_211,14
id_212,38
id_213,37
id_214,23
id_215,34
id_216,78
id_217,1
id_218,13
id_219,31
id_220,17
id_221,14
id_222,113
id_223,11
id_224,17
id_225,55
id_226,14
id_227,21
id_228,10
id_229,7
id_230,45
id_231,12
id_232,56
id_233,39
id_234,21
id_235,43
id_236,72
id_237,42
id_238,2
id_239,18
