id,value
id_0,5
id_1,17
id_2,23
id_3,7
id_4,27
id_5,22
id_6,24
id_7,30
id_8,16
id_9,58
id_10,11
id_11,9
id_12,62
id_13,52
id_14,22
id_15,12
id_16,32
id_17,67
id_18,0
id_19,17
id_20,42
id_21,73
id_22,9
id_23,19
id_24,15
id_25,38
id_26,15
id_27,73
id_28,7
id_29,55
id_30,23
id_31,8
id_32,3
id_33,18
id_34,29
id_35,37
id_36,44
id_37,31
id_38,43
id_39,35
id_40,7
id_41,40
id_42,30
id_43,50
id_44,17
id_45,35
id_46,24
id_47,10
id_48,25
id_49,33
id_50,20
id_51,9
id_52,19
id_53,53
id_54,15
id_55,35
id_56,33
id_57,22
id_58,58
id_59,22
id_60,14
id_61,42
id_62,12
id_63,50
id_64,14
id_65,16
id_66,14
id_67,0
id_68,43
id_69,29
id_70,21
id_71,42
id_72,61
id_73,5
id_74,17
id_75,5
id_76,39
id_77,13
id_78,22
id_79,22
id_80,24
id_81,36
id_82,22
id_83,93
id_84,36
id_85,27
id_86,22
id_87,33
id_88,24
id_89,22
id_90,29
id_91,42
id_92,5
id_93,38
id_94,47
id_95,16
id_96,33
id_97,12
id_98,24
id_99,4
id_100,19
id_101,27
id_102,14
id_103,15
id_104,23
id_105,39
id_106,32
id_107,7
id_108,6
id_109,80
id_110,48
id_111,16
id_112,27
id_113,16
id_114,14
id_115,25
id_116,26
id_117,11
id_118,18
id_119,20
id_120,81
id_121,25
id_122,37
id_123,24
id_124,7
id_125,39
id_126,9
id_127,22
id_128,29
id_129,63
id_130,22
id_131,23
id_132,59
id_133,15
id_134,14
id_135,2
id_136,12
id_137,58
id_138,19
id_139,6
id_140,28
id_141,25
id_142,45
id_143,30
id_144,19
id_145,26
id_146,11
id_147,51
id_148,23
id_149,39
id_150,10
id_151,8
id_152,24
id_153,7
id_154,15
id_155,42
id_156,9
id_157,37
id_158,10
id_159,18
id_160,41
id_161,18
id_162,14
id_163,7
id_164,52
id_165,31
id_166,-1
id_167,16
id_168,63
id_169,13
id_170,65
id_171,39
id_172,26
id_173,19
id_174,61
id_175,25
id_176,21
id_177,38
id_178,12
id_179,31
id_180,17
id_181,12
id_182,56
id_183,47
id_184,16
id_185,36
id_186,26
id_187,73
id_188,10
id_189,58
id_190,38
id_191,16
id_192,29
id_193,0
id_194,19
id_195,1
id_196,34
id_197,11
id_198,19
id_199,61
id_200,24
id_201,25
id_202,65
id_203,12
id_204,9
id_205,11
id_206,8
id_207,2
id_208,125
id_209,20
id_210,15
id_211,14
id_212,37
id_213,36
id_214,19
id_215,35
id_216,79
id_217,1
id_218,12
id_219,32
id_220,15
id_221,13
id_222,113
id_223,12
id_224,17
id_225,64
id_226,16
id_227,20
id_228,10
id_229,10
id_230,46
id_231,14
id_232,54
id_233,42
id_234,25
id_235,41
id_236,69
id_237,44
id_238,12
id_239,17
